timestamp,station,temp_c,humidity_pct,pressure_hpa,wind_ms,rain_mm
2026-01-01T00:00:00Z,KRDU,4.10,81,1017.30,2.60,0.00
2026-01-01T01:00:00Z,KRDU,3.80,83,1017.10,2.10,0.00
2026-01-01T02:00:00Z,KRDU,3.50,85,1016.80,1.90,0.20
2026-01-01T03:00:00Z,KRDU,3.20,88,1016.40,1.50,0.60
2026-01-01T04:00:00Z,KRDU,2.90,90,1016.00,1.20,1.10
2026-01-01T05:00:00Z,KRDU,2.70,91,1015.70,1.00,0.80
2026-01-01T06:00:00Z,KRDU,2.60,92,1015.50,0.90,0.30
2026-01-01T07:00:00Z,KRDU,3.40,89,1015.60,1.40,0.00
2026-01-01T08:00:00Z,KRDU,5.10,82,1015.90,2.20,0.00
2026-01-01T09:00:00Z,KRDU,7.30,74,1016.20,3.10,0.00
2026-01-01T10:00:00Z,KRDU,9.60,66,1016.40,3.80,0.00
2026-01-01T11:00:00Z,KRDU,11.20,60,1016.30,4.40,0.00
2026-01-01T12:00:00Z,KRDU,12.40,56,1016.00,4.90,0.00
2026-01-01T13:00:00Z,KRDU,13.10,54,1015.60,5.20,0.00
2026-01-01T14:00:00Z,KRDU,13.30,53,1015.10,5.10,0.00
2026-01-01T15:00:00Z,KRDU,12.80,55,1014.80,4.70,0.00
2026-01-01T16:00:00Z,KRDU,11.40,59,1014.60,4.10,0.00
2026-01-01T17:00:00Z,KRDU,9.70,65,1014.70,3.30,0.00
2026-01-01T18:00:00Z,KRDU,8.20,71,1014.90,2.80,0.00
2026-01-01T19:00:00Z,KRDU,7.10,75,1015.20,2.40,0.00
